MMDataRunNum;BeamEnergy;Angle1;Angle2;DownX;DownY;RefX;RefY;UpX;UpY;config;map;Comment;
71;4.4;0;0;80;300;200;700;80;500;desyTBUntil11_05_2016_15_30.config;desyTBUntil11_05_2016_15_15.map;;
74;4.4;1.023193304;0;80;300;200;700;80;500;desyTBUntil11_05_2016_15_30.config;desyTBUntil11_05_2016_15_15.map;;
84;4.4;4.096043758;0;80;300;100;700;80;200;desyTBUntil11_05_2016_15_30.config;desyTBUntil11_05_2016_15_15.map;;
86;4.4;5.1225161;0;80;300;100;700;80;300;desyTBUntil11_05_2016_15_30.config;desyTBUntil11_05_2016_15_15.map;;
88;4.4;6.150639828;0;80;200;100;700;80;300;desyTBUntil11_05_2016_15_30.config;desyTBUntil11_05_2016_15_15.map;;
90;4.4;7.180755781;0;80;200;100;700;80;300;desyTBUntil11_05_2016_15_30.config;desyTBUntil11_05_2016_15_15.map;;
92;4.4;8.213210702;0;80;200;100;700;80;400;desyTBUntil11_05_2016_15_30.config;desyTBUntil11_05_2016_15_15.map;;
97;4.4;8.213210702;0;80;200;100;700;80;500;desyTBUntil11_05_2016_15_30.config;desyTBUntil11_05_2016_15_15.map;;
102;4.4;0;0;80;300;100;500;80;200;desyTBUntil11_05_2016_15_30.config;desyTBUntil11_05_2016_15_15.map;different posistion than last 0 since mount was lowered;
104;4.4;0;1;80;200;100;600;80;200;desyTBUntil11_05_2016_15_30.config;desyTBUntil11_05_2016_15_15.map;;
106;4.4;0;2;80;200;100;600;80;200;desyTBUntil11_05_2016_15_30.config;desyTBUntil11_05_2016_15_15.map;;
110;4.4;0;4;80;300;100;500;80;200;desyTBUntil11_05_2016_15_30.config;desyTBUntil11_05_2016_15_15.map;;
112;4.4;0;5;80;300;100;500;80;200;desyTBUntil11_05_2016_15_30.config;desyTBUntil11_05_2016_15_15.map;;
118;4.4;0;7;80;500;100;300;80;300;desyTBUntil11_05_2016_15_30.config;desyTBUntil11_05_2016_15_15.map;;
124;4.4;0;8;80;400;100;600;80;300;desyTB.config;desyTB2.map;;
127;4.4;0;10;150;400;100;600;80;200;desyTB.config;desyTB2.map;;
134;4.4;0;0;80;300;100;500;80;200;desyTB.config;desyTB2.map;180k;
137;4.4;0;-5;80;500;100;500;80;200;desyTB.config;desyTB2.map;;
139;4.4;0;-10;80;300;100;500;80;200;desyTB.config;desyTB2.map;;
145;4.4;0;-20;80;300;100;500;80;200;desyTB.config;desyTB2.map;;
